Tweet_ID,Mentions
1392192897701847043,@GovCanHealth
1392192897840291843,@LaloQ1525
1392192899257864194,@678elprograma
1392192900579028993,@DavidCGrabowski
1392192904551182337,@BoLu213
1392192905289342976,@nytimes
1392192905985593344,@PrisonPlanet
1392192907235446787,@Agiat13
1392192910544809988,@LaSER
1392192910544809988,@LaVentana
1392192911132004352,@LapidarioTV
1392192911480172553,@realTuckFrumper
1392192913132736524,@keiwakanda
1392192913333960710,@RFHFC
1392192914160242689,@HilariousPino
1392192915523477505,@mrtdogg1
1392192915661750274,@prilozatweets
1392192917574459396,@pieroviercowood
1392192917574459396,@DanielaPF75
1392192917574459396,@ThManfredi
1392192918476103680,@pariktank
1392192918979551232,@RFHFC
1392192919482818564,@RandPaul
1392192920015577093,@revistaforum
1392192920099373062,@TheRightMelissa
1392192920363491328,@FaheemYounus
1392192923836370948,@ashutosh83B
1392192926915174403,@AlertaNews24
1392192927150055425,@DrDenaGrayson
1392192928827822084,@DrDenaGrayson
1392192931591766021,@FoxNews
1392192932330065925,@Hugobie
1392192933017767937,@ToscaAusten
1392192933391175681,@derbuerger5
1392192935597273089,@IndiasporaForum
1392192935597273089,@amanthakker
1392192935597273089,@ForeignPolicy
1392192935597273089,@POTUSs
1392192936742424580,@rialjorge
1392192936742424580,@JonatanViale
1392192936834523137,@WHCOS
1392192938785050634,@DaulaniSatyam
1392192940357914635,@RandPaul
1392192946418630666,@RehanaKashmiri
1392192946418630666,@Defender747
1392192946418630666,@JamilBathaa
1392192946418630666,@ThirdEy65160637
1392192946418630666,@MuhamadAfzalECP
1392192946418630666,@javiqbal09
1392192946418630666,@rabaqi
1392192946418630666,@KanganaTeam
1392192946418630666,@ImranKhanPTI
1392192946418630666,@PakPMO
1392192946456379394,@GouvCanSante
1392192949069492230,@RFHFC
1392192950147239936,@nytimes
1392192952793980936,@diariodeBA
1392192955214143489,@CarlosMaslaton
1392192955692331017,@RFHFC
1392192956296306692,@johncardillo
1392192956656930824,@georgehahn
1392192959878209550,@NYDailyNews
1392192965754249216,@MyAnandaBazar
1392192967197306881,@nytimes
1392192967948001287,@Mippcivzla
1392192970338734082,@MBudnicki
1392192971831873540,@BNODesk
1392192973937516546,@HALODrones
1392192974713413636,@ABC
1392192974730133505,@ForBJPGujarat
1392192974990286853,@mkulunk
1392192979520172044,@morandiniblog
1392192979549364224,@abc15
1392192979562123266,@Forbes
1392192979843026946,@radiomitre
1392192980010864645,@BohnGass
1392192980010864645,@RUIALVESDASILV6
1392192982770724877,@GovCanHealth
1392192984343580674,@Mippcivzla
1392192985539006468,@thedailybeast
1392192985803153411,@scoutsuk
1392192985803153411,@JohnDCaudwell
1392192985803153411,@MExcludeduk
1392192985803153411,@Excluded
1392192985803153411,@Conservatives
1392192985803153411,@MikeFabricant
1392192988210634752,@RandPaul
1392192989347336192,@maurofulco
1392192990270083075,@amanthakker
1392192990270083075,@ForeignPolicy
1392192990328745989,@TarekFatah
1392192991985651712,@MichaelPerchick
1392192991985651712,@ABC11WTVD
1392192993726173191,@becomingjessi
1392192993726173191,@GENbio
1392192994879721474,@dwespanol
1392192997551312898,@RandPaul
1392192998117711874,@ysesvaghela
1392192998117711874,@Motabhaikachot1
1392192998117711874,@GabbbarSingh
