Tweet_ID,Sentiment_Label,Logits_Neutral,Logits_Positive,Logits_Negative
1371353994317033474,negative,0.7736210227012634,-1.0158811807632446,2.975856304168701
1371353994426265601,negative,0.8906926512718201,0.4612067937850952,1.40935218334198
1371353994438787072,neutral,2.0857269763946533,1.034436821937561,-0.42854148149490356
1371353994501746689,neutral,2.118992805480957,0.3695336878299713,0.42245879769325256
1371353994539466755,neutral,1.8738646507263184,1.0549618005752563,-0.08455504477024078
1371353996678492168,negative,0.7540061473846436,-0.2929074764251709,0.997227132320404
1371353997420863490,positive,1.5846655368804932,1.6541844606399536,0.12916254997253418
1371353998008147969,negative,1.6533441543579102,-1.1322258710861206,2.346886396408081
1371353998716993537,negative,1.3500945568084717,-0.7401797771453857,1.8167287111282349
1371353998993846272,negative,0.4836438298225403,0.11545976251363754,1.4020191431045532
1371353999006400512,positive,1.1095856428146362,2.009831190109253,-0.4714457392692566
1371353999782277124,negative,1.6533441543579102,-1.1322258710861206,2.346886396408081
1371354000193323009,positive,1.1404502391815186,2.9418082237243652,-0.7787021994590759
1371354000281378821,neutral,1.473227620124817,0.47770190238952637,0.9812082052230835
1371354001292234753,negative,0.8720420002937317,-0.9000072479248047,2.525007963180542
1371354001510330371,negative,1.040341854095459,-1.1217694282531738,3.2504897117614746
1371354001740943366,negative,0.8946557641029358,-0.5051363706588745,1.8440580368041992
1371354002563215361,neutral,1.7944878339767456,-0.4303670823574066,1.0636066198349
1371354004081418241,negative,0.9487543702125549,-0.2784416973590851,2.1780080795288086
1371354004421283845,negative,1.5927104949951172,-1.3860912322998047,3.302755355834961
1371354005817892868,negative,0.9752311110496521,-0.048755086958408356,1.5791748762130737
1371354005822177282,neutral,1.3424246311187744,0.16285276412963867,0.9213069081306458
1371354007193587714,neutral,1.1394706964492798,0.6968556046485901,-0.36000391840934753
1371354008045109248,neutral,2.5367114543914795,0.7106912732124329,-0.31510865688323975
1371354008141524993,neutral,1.9605827331542969,0.774426281452179,0.21019239723682404
1371354008665825284,neutral,2.6501877307891846,1.694819688796997,-0.4611697494983673
1371354010834366466,positive,1.6218441724777222,2.6852314472198486,-0.05270262062549591
1371354010846863364,negative,1.0444782972335815,-0.18731462955474854,1.559659719467163
1371354011014664197,neutral,2.056058406829834,1.6356679201126099,-0.3483714759349823
1371354012256190464,negative,1.0751590728759766,-0.752778947353363,2.171400785446167
1371354014084964353,positive,1.6218441724777222,2.6852314472198486,-0.05270262062549591
1371354014239969281,negative,1.0124708414077759,-0.3139805197715759,1.7223891019821167
