"","V4","total"
"875","@luchaalmada",16783
"876","@guinapolitano",16779
"877","@prialcantara",16775
"878","@hshaban",16759
"879","@lilystgermain",16627
"880","@epikhigz",16620
"881","@SpeakerPelosi",16612
"882","@cutimakan",16531
"883","@jamiewithorne",16482
"884","@mononcecouerant",16405
"885","@literelly",16344
"886","@thaidansker",16308
"887","@profmakehappy",16286
"888","@ibaillanos",16282
"889","@asyrafrusni94",16278
"890","@MrGee54",16252
"891","@KyarraIman",16228
"892","@tonyferraro7",16165
"893","@chrismilburnnps",16085
"894","@theauguststar",16047
"895","@nepswirldabeard",16014
"896","@MoSpruill",16013
"897","@andrebrandt",15966
"898","@GregAbbottTX",15930
"899","@camieecamm",15809
"900","@showmetheyamz",15805
"901","@UNICEF",15794
"902","@talkmaster",15786
"903","@FaheemYounus",15715
"904","@heccctor11",15669
"905","@justintrudeau",15493
"906","@thecathooman",15480
"907","@jasonhickel",15430
"908","@CasualPS",15424
"909","@elykreimendahl",15408
"910","@mmithplease",15375
"911","@neiladel",15370
"912","@NicolaSturgeon",15335
"913","@imvkohli",15233
"914","@tribelaw",15076
"915","@suriyaoffl",15074
"916","@waniardy",15017
"917","@DrDenaGrayson",14798
"918","@arvindkejriwal",14793
"919","@ejln",14792
"920","@nazrih",14663
"921","@sirotek",14514
"922","@sendcats",14424
"923","@Brado84",14412
"924","@Dystopia992",14402
"925","@alinao17",14384
"926","@RyanAFournier",14343
"927","@4lisaguerrero",14184
"928","@julifaita",14131
"929","@yungskuntebony",14122
"930","@datukhensem",14099
"931","@TonsTweetings",14065
"932","@nygovcuomo",14050
"933","@PugMafia2",14010
"934","@minjinlee11",13966
"935","@tapuyatarairiu",13964
"936","@WesleyLowery",13933
"937","@thomasvconti",13889
"938","@AmberHobbs7",13853
"939","@aajtak",13838
"940","@nellythamenace",13827
"941","@gmariah",13760
"942","@nocontextbrits",13759
"943","@stevehanke",13731
"944","@juliaksksks",13657
"945","@kaitlancollins",13532
"946","@nedajahanbani",13448
"947","@MMarieSophie",13443
"948","@ddzinha99",13408
"949","@hrmoroz",13400
"950","@RepMattGaetz",13311
"951","@benjvmins",13299
"952","@thelastjaedi",13276
"953","@gussooficial",13265
"954","@spin9",13245
"955","@501Awani",13221
"956","@FirstGentleman",13213
"957","@jordanschachtel",13190
"958","@maxiiszvanz",13105
"959","@repmariasalazar",12994
"960","@t3rr3z",12850
"961","@himantabiswa",12835
"962","@mohdkhairul",12812
"963","@RepMaxineWaters",12684
"964","@sandwichghoul",12626
"965","@bidenfinnegan",12539
"966","@SherriSantosMSN",12361
"967","@JoshuaPotash",12348
"968","@rachelkiki",12080
"969","@dylanthyme",12062
"970","@CMOyeks",11948
"971","@nigelfarage",11921
"972","@scenyor",11882
"973","@itsjoebro",11680
"974","@AfricaFactsZone",11555
"975","@nextgaara",11555
"976","@dobbyclub06",11523
"977","@cixdle",11398
"978","@bioleticia",11291
"979","@sofiiherrera",11290
"980","@DrDzul",11284
"981","@outiowill",11278
"982","@chairmanglc",11273
"983","@bnonews",11194
"984","@robinwannabefly",11083
"985","@MyFavsTrash",11009
"986","@willtbh",10746
"987","@helpmeimskek",10720
"988","@ranojpegu",10678
"989","@ABC",10652
"990","@Pogllins",10620
"991","@shawnsbreathin",10547
"992","@possiblymadness",10347
"993","@ayoair",10214
