"","Year","Month","Day","Sentiment","Count","Avg_Per"
"207","2020",3,30,"positive",111465,0.0975571085
"208","2020",3,31,"negative",255609,0.418264288541667
"209","2020",3,31,"neutral",279390,0.466188762541667
"210","2020",3,31,"positive",69065,0.115546949041667
"211","2020",4,1,"negative",533857,0.445364899875
"212","2020",4,1,"neutral",543958,0.461971119916667
"213","2020",4,1,"positive",99590,0.092663980125
"214","2020",4,2,"negative",773537,0.460280369125
"215","2020",4,2,"neutral",774073,0.460492157541667
"216","2020",4,2,"positive",133029,0.0792274733333333
"217","2020",4,3,"negative",705078,0.4363332365
"218","2020",4,3,"neutral",762103,0.472541925625
"219","2020",4,3,"positive",146956,0.0911248379583333
"220","2020",4,4,"negative",789978,0.458034969166667
"221","2020",4,4,"neutral",762751,0.443635910958333
"222","2020",4,4,"positive",169359,0.0983291199166667
"223","2020",4,5,"negative",784071,0.452513216416667
"224","2020",4,5,"neutral",770033,0.445769816125
"225","2020",4,5,"positive",175835,0.101716967416667
"226","2020",4,6,"negative",792203,0.447993783333333
"227","2020",4,6,"neutral",810017,0.458123041083333
"228","2020",4,6,"positive",165782,0.0938831754583333
"229","2020",4,7,"negative",771585,0.421779419958333
"230","2020",4,7,"neutral",884632,0.485031272291667
"231","2020",4,7,"positive",169907,0.093189307875
"232","2020",4,8,"negative",567745,0.433000437916667
"233","2020",4,8,"neutral",596101,0.465954013916667
"234","2020",4,8,"positive",123767,0.101045548125
"235","2020",4,9,"negative",503204,0.419677632083333
"236","2020",4,9,"neutral",541988,0.475812743083333
"237","2020",4,9,"positive",112042,0.104509625083333
"238","2020",4,10,"negative",810174,0.453490387958333
"239","2020",4,10,"neutral",808598,0.452001335583333
"240","2020",4,10,"positive",169338,0.0945082765
"241","2020",4,11,"negative",815616,0.483416063541667
"242","2020",4,11,"neutral",714110,0.423858612916667
"243","2020",4,11,"positive",156513,0.0927253235416667
"244","2020",4,12,"negative",793817,0.48812969275
"245","2020",4,12,"neutral",674813,0.415001982916667
"246","2020",4,12,"positive",156765,0.0968683244583333
"247","2020",4,13,"negative",766401,0.453417705791667
"248","2020",4,13,"neutral",781281,0.460920403625
"249","2020",4,13,"positive",144962,0.0856618905
"250","2020",4,14,"negative",777905,0.445513835583333
"251","2020",4,14,"neutral",818574,0.469587946875
"252","2020",4,14,"positive",147794,0.0848982175833333
"253","2020",4,15,"negative",840507,0.47287897325
"254","2020",4,15,"neutral",797865,0.448774338
"255","2020",4,15,"positive",139577,0.0783466887083333
"256","2020",4,16,"negative",790607,0.444776877833333
"257","2020",4,16,"neutral",827298,0.465809151333333
"258","2020",4,16,"positive",158784,0.0894139705416667
"259","2020",4,17,"negative",766758,0.447854726958333
"260","2020",4,17,"neutral",805633,0.470469444125
