"","Month","Date","#OR","#RT","#Total","#Geo","MaxRt","MDRT","MaxLike","MDLike","NA"
"100",1,"2020_01_26_03",5319,42993,48312,2,187604,1203,32162,0,"Jan"
"101",1,"2020_01_26_04",5114,41754,46868,2,183363,1468,37097,0,"Jan"
"102",1,"2020_01_26_05",4938,40048,44986,4,183561,1878,5028,0,"Jan"
"103",1,"2020_01_26_06",4651,38284,42935,6,183766,2262,12257,0,"Jan"
"104",1,"2020_01_26_07",4650,38892,43542,15,183864,2323,9325,0,"Jan"
"105",1,"2020_01_26_08",5479,40333,45812,1,184026,2000,13585,0,"Jan"
"106",1,"2020_01_26_09",4734,39170,43904,4,184154,2261,10453,0,"Jan"
"107",1,"2020_01_26_10",4660,39619,44279,3,556311,2414,3992,0,"Jan"
"108",1,"2020_01_26_11",4811,42228,47039,6,184389,2589,187666,0,"Jan"
"109",1,"2020_01_26_12",5184,43006,48190,5,184445,2243,33896,0,"Jan"
"110",1,"2020_01_26_13",5854,48804,54658,5,184680,1514,9137,0,"Jan"
"111",1,"2020_01_26_14",6588,53649,60237,2,184830,1524,18322,0,"Jan"
"112",1,"2020_01_26_15",7129,56317,63446,4,185034,1846,12254,0,"Jan"
"113",1,"2020_01_26_16",7360,53486,60846,8,185154,1374,118568,0,"Jan"
"114",1,"2020_01_26_17",7094,45055,52149,3,185335,819,12783,0,"Jan"
"115",1,"2020_01_26_18",6820,37534,44354,2,185446,525,32832,0,"Jan"
"116",1,"2020_01_26_19",7373,36690,44063,5,185529,343,41643,0,"Jan"
"117",1,"2020_01_26_20",7016,37595,44611,2,517774,330,97660,0,"Jan"
"118",1,"2020_01_26_21",6505,37110,43615,4,517815,468,4948,0,"Jan"
"119",1,"2020_01_26_22",5591,36464,42055,5,674151,738,15658,0,"Jan"
"120",1,"2020_01_26_23",5466,38702,44168,5,517795,1167,5088,0,"Jan"
"121",1,"2020_01_27_00",5610,37227,42837,4,187081,852,30412,0,"Jan"
"122",1,"2020_01_27_01",4946,37843,42789,5,187193,1407,28155,0,"Jan"
"123",1,"2020_01_27_02",5247,38928,44175,6,182195,1655,6139,0,"Jan"
"124",1,"2020_01_27_03",5499,41433,46932,3,187366,1369.5,19162,0,"Jan"
"125",1,"2020_01_27_04",5028,37743,42771,6,187412,1074,22596,0,"Jan"
"126",1,"2020_01_27_05",4716,32379,37095,4,187475,758,4680,0,"Jan"
"127",1,"2020_01_27_06",4315,29237,33552,8,187530,616,1958,0,"Jan"
"128",1,"2020_01_27_07",4166,25563,29729,11,187553,463,7982,0,"Jan"
"129",1,"2020_01_27_08",4597,24761,29358,4,187628,400,2245,0,"Jan"
"130",1,"2020_01_27_09",4017,25182,29199,2,187667,406,1369,0,"Jan"
"131",1,"2020_01_27_10",4234,25102,29336,4,501323,467,1167,0,"Jan"
"132",1,"2020_01_27_11",4627,28036,32663,5,201184,565,10596,0,"Jan"
"133",1,"2020_01_27_12",5777,31109,36886,9,187785,371.5,4467,0,"Jan"
"134",1,"2020_01_27_13",6715,33735,40450,0,187823,348,14178,0,"Jan"
"135",1,"2020_01_27_14",7393,36644,44037,4,187860,332,41727,0,"Jan"
"136",1,"2020_01_27_15",7887,37885,45772,3,187909,330,14748,0,"Jan"
"137",1,"2020_01_27_16",8224,34392,42616,4,182242,223,20782,0,"Jan"
"138",1,"2020_01_27_17",7902,31465,39367,11,182194,197,6039,0,"Jan"
"139",1,"2020_01_27_18",6872,28013,34885,3,408987,211,3213,0,"Jan"
"140",1,"2020_01_27_19",6617,25652,32269,1,187977,151,7168,0,"Jan"
"141",1,"2020_01_27_20",6029,22926,28955,9,188001,128,1849,0,"Jan"
"142",1,"2020_01_27_21",6338,22571,28909,4,182230,91,3514,0,"Jan"
"143",1,"2020_01_27_22",6175,20742,26917,9,517804,77,20075,0,"Jan"
"144",1,"2020_01_27_23",6463,23123,29586,9,188054,97,11941,0,"Jan"
